子商户编号,交易日期,交易时间,订单号,支付方式,交易金额,清算金额,手续费,手续费率
tl20210105,20210520,180724,447822665893064704,微信,25,25,.05,200
TL1229,20210520,180724,447822667642089472,微信,30,30,.08,255
TL1229,20210520,180903,447823083301810176,微信,40,40,.1,255
TL1229,20210520,181033,447823460478791680,微信,25,25,.06,255
tl20210105,20210520,181034,447823461221183488,微信,48,48,.1,200
tl20210105,20210520,180733,447822706951106560,微信,10,10,.02,200
tl20210105,20210520,180906,447823096706805760,微信,48,48,.1,200
tl20210105,20210520,180907,K520053432202363,微信,48,48,.1,200
TL1229,20210520,180908,447823101995823104,微信,40,40,.1,255
TL1229,20210520,180908,447823105942663168,微信,65,65,.17,255
TL1229,20210520,180738,447822728014901248,微信,10,10,.03,255
TL1229,20210520,180916,447823135747387392,微信,15,15,.04,255
TL1229,20210520,180746,447822757966426112,微信,10,10,.03,255
TL1229,20210520,180748,447822768733204480,微信,15,15,.04,255
TL1229,20210520,180749,447822772944285696,微信,130,130,.33,255
tl20210105,20210520,180749,447822774047387648,微信,25,25,.05,200
tl20210105,20210520,180754,447822792070311936,微信,16,16,.03,200
TL1229,20210520,180757,447822804695166976,微信,10,10,.03,255
tl20210105,20210520,180759,447822806544855040,微信,48,48,.1,200
tl20210105,20210520,180800,447822819215847424,微信,30,30,.06,200
TL1229,20210520,180801,447822823229796352,微信,55,55,.14,255
tl20210105,20210520,180801,447822824739745792,微信,8,8,.02,200
tl20210105,20210520,180927,447823182908141568,微信,48,48,.1,200
TL1229,20210520,180928,447823185810599936,微信,15,15,.04,255
TL1229,20210520,180929,447823191074451456,微信,60,60,.15,255
TL1229,20210520,180625,447822420459171840,微信,50,50,.13,255
tl20210105,20210520,180628,447822434321346560,微信,10,10,.02,200
tl20210105,20210520,180935,447823218433896448,微信,25,25,.05,200
tl20210105,20210520,180940,K520053748531996,微信,73,73,.15,200
tl20210105,20210520,180637,447822471952642048,微信,40,40,.08,200
tl20210105,20210520,180813,447822874148646912,微信,30,30,.06,200
tl00108,20210520,180814,447822878275842048,微信,22,22,.06,255
tl20210105,20210520,180947,447823267096211456,微信,56,56,.11,200
tl20210105,20210520,180947,447823268614549504,微信,30,30,.06,200
